Model,R2,RMSE,MAE,MAPE
Random Forest,0.9995094424017604,27.9708508964711,2.897066078441333,54.21137951373433
XGBoost,0.9971015175321093,67.99015223989129,12.203778583851694,1164.98484748498
Linear Regression,0.9341139808303557,324.1584214991088,77.45077697727851,60803.26932345104
