Model,R2,RMSE,MAE,MAPE
Random Forest,0.9986188204051931,46.933803585770384,10.873475162292474,991.7134761426274
XGBoost,0.9914237459536718,116.95249556695333,24.267236943506138,4942.873261406256
Linear Regression,0.0534307741234058,1228.6745571478295,403.2747488878077,167757.946100772
